dbms	table_catalog	table_schema	table_name	column_name	ordinal_position	data_type	character_maximum_length	constraint_type	table_schema	table_name	column_name
postgresql	neondb	neon_auth	session	userAgent	7	text					
postgresql	neondb	public	Ad	results	12	integer					
postgresql	neondb	public	FollowerGender	distribution	3	double precision					
postgresql	neondb	neon_auth	user	updatedAt	7	timestamp with time zone					
postgresql	neondb	public	UploadLog	upload_type	3	USER-DEFINED					
postgresql	neondb	public	RegressionModel	coef_messaging	9	double precision					
postgresql	neondb	public	SimulationResult	simulated_at	6	timestamp without time zone					
postgresql	neondb	public	FacebookPost	publish_time	3	timestamp without time zone					
postgresql	neondb	public	RegressionModel	adj_r_squared	14	double precision					
postgresql	neondb	neon_auth	invitation	email	3	text					
postgresql	neondb	neon_auth	project_config	email_provider	8	jsonb					
postgresql	neondb	neon_auth	user	banExpires	11	timestamp with time zone					
postgresql	neondb	public	RegressionModel	n	5	integer					
