"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2025-09-01,2025-09-30,"4PCS R5 5600G COMPSHOP PACKAGE 09/10 BERT",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,2488,4673,36.23470588,-,-,-,615.99,2025-11-23,35,7,,,,,87.998571,17,36.234706,,,82
2025-09-01,2025-09-30,"R5 5600G 5PCS CP 09/12 BERT",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,951,1336,40.1825,-,-,-,160.73,2025-11-23,5,,,,,,,4,40.1825,,,9
2025-09-01,2025-09-30,"R5 5600G 8+1 DP 09/13 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",11,actions:onsite_conversion.messaging_conversation_started_7d,1273,1860,17.58727273,-,-,-,193.46,2025-11-23,12,5,,,,,38.692,11,17.587273,,,37
2025-09-01,2025-09-30,"6PCs R5 3400G CP 09/14 BERT",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,886,1364,181.76,-,-,-,181.76,2025-11-23,6,,,,,,,1,181.76,,,22
2025-09-01,2025-09-30,"R5 5600G POSEIDON✅",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"R7 5700G ROBIN MINI✅",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"R7 5700X 4060 Y68✅",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"R5 5600X RTX4060 34""✅",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"CCTV 8 MEYCAUAYAN",inactive,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-16T18:51:00+0800,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"NANDTO TAYO SA PCM - ORDERS ONSITE",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-16T18:51:00+0800,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"LOOKING FOR COMSHOP PACKAGE?",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-16T18:51:00+0800,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,DAN,not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-16T18:51:00+0800,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"ALL PC SET",inactive,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"ALL COMSHOP SET",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"𝐑𝟕 𝟓𝟕𝟎𝟎𝐗 𝐑𝐗𝟔𝟔𝟎𝟎✅",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"𝐑𝟕 𝟓𝟕𝟎𝟎𝐆 𝐃𝐈𝐆𝐈𝐓𝐀𝐋✅",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"R7 7700 5060",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,EARTH,not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,-,,,0,0,,-,-,-,0,2025-08-15,,,,,,,,,,,,
2025-09-01,2025-09-30,"R5 5600G 4PCS CP 09/27 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
