"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2025-12-01,2025-12-31,"11/28/25 - R5 3400G 4PCs highlighs 1",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",6320,reach,6320,6684,13.26107595,"Below average - Bottom 35% of ads",-,-,83.81,2026-02-21,2,2,,,,,41.905,2,41.905,,,10
2025-12-01,2025-12-31,"December 2025 Raffle",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",9028,reach,9028,9060,11.95059814,Average,-,-,107.89,2026-02-21,1,1,,,,,107.89,1,107.89,,,11
2025-12-01,2025-12-31,"12/04/25 - R5 5600G 6PCs highlighs",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",102442,reach,102442,116857,14.53534683,"Above average",-,-,1489.03,2026-02-21,4,3,,,,,496.343333,4,372.2575,,,123
2025-12-01,2025-12-31,"12/06/2025 - (HIGHLIGHTS) R5 3400G 6PCs",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3287,reach,3287,3298,12.13872832,Average,-,-,39.9,2026-02-21,,,,,,,,,,,,2
2025-12-01,2025-12-31,"12/08/2025 - (HIGHLIGHTS) R5 3400G 6PCs",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",5546,reach,5546,5546,12.09340065,"Below average - Bottom 35% of ads",-,-,67.07,2026-02-21,1,1,,,,,67.07,1,67.07,,,7
2025-12-01,2025-12-31,"12/09/2025 = Ryzen 5 Cyborg Setup",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",12841,reach,12841,13392,11.90016354,Average,-,-,152.81,2026-02-21,,,,,,,,,,,,10
2025-12-01,2025-12-31,"12/10/25 -R5 5500 w RX580 Isabela",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",13727,reach,13727,14080,11.81685729,Average,-,-,162.21,2026-02-21,,,,,,,,,,,,8
2025-12-01,2025-12-31,"Update Raffle",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",119935,reach,119935,132738,12.39663151,Average,-,-,1486.79,2026-02-21,8,8,,,,,185.84875,8,185.84875,,,285
2025-12-01,2025-12-31,"12/12/25 - (Highlights)R5 56G 6PCs",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",14754,reach,14754,15131,11.31896435,Average,-,-,167,2026-02-21,,,,,,,,,,,,6
2025-12-01,2025-12-31,"12/14/25 - (Highlights) R5 56G 4PCs",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",8280,reach,8280,8355,11.32246377,Average,-,-,93.75,2026-02-21,1,,,,,,,1,93.75,,,5
2025-12-01,2025-12-31,"12/16/25 - Highlights R5 56G 4PCs",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",6095,reach,6095,6095,10.79901559,Average,-,-,65.82,2026-02-21,,,,,,,,,,,,6
2025-12-01,2025-12-31,"R7 5700G PINK VIRAL",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R7 5700X 4060 BLACK",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R7 5700X 4060 Y68",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"BERMONTHS 2025 ALL PC SET📈",not_delivering,"IMG BROCHURE PERSONAL, COMSHOP, AND LAPTOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T02:57:34+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"STA MARIA JAMES📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) north cal📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"Ryzen 5 Gaming montalban rizal📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟏𝟎+𝟏)tattoo📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"STA MARIA JAMES 2📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"NEW 10+1 NOVA📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"NEW 10+1 MINUYAN📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"NEW 6 TRAD SAN MATEO RIZAL📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 7 5700X 4060 ROBIN",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R7 NEW PINK",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"DAN TRES G",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"LOOKING COMSHOP PACKAGE G MID",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R5 5600G 10PCS CP 09/06 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R5 5600G 8+1 DP 09/13 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 5 34G 8+1  DP 10/10 Bert",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 7 57G 8PCS CP 10/9 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 5 56G 10+1 DP 10/08 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"12/20/25 - 10+1 Ryzen 7 Dislkess Setup",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3533,reach,3533,3569,11.38126238,"Below average - Bottom 35% of ads",-,-,40.21,2026-02-21,,,,,,,,,,,,
2025-12-01,2025-12-31,"12/23/25 - R5 56G 8PCS Compshop Package",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3395,reach,3395,3501,11.36377025,"Below average - Bottom 35% of ads",-,-,38.58,2026-02-21,,,,,,,,,,,,8
2025-12-01,2025-12-31,"12/25/25 -  HIGHLIGHTS R5 34G 4PCS",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",7095,reach,7095,7095,10.72868217,Average,-,-,76.12,2026-02-21,,,,,,,,,,,,7
2025-12-01,2025-12-31,"12/26/25 - HIGHLIGHTS R5 34G 6PCS",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",4127,reach,4127,4407,11.71068573,Average,-,-,48.33,2026-02-21,,,,,,,,,,,,2
2025-12-01,2025-12-31,"𝐓𝐇𝐄 𝐑𝐘𝐙𝐄𝐍 𝟗 𝟑𝟗𝟎𝟎𝐗",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R5 5600G POSEIDON",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"BERMONTHS 2025 LAPTOP📈",not_delivering,"IMG BROCHURE PERSONAL, COMSHOP, AND LAPTOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T02:57:34+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"BERMONTHS 2025 COMSHOP📈",not_delivering,"IMG BROCHURE PERSONAL, COMSHOP, AND LAPTOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T02:57:34+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R5 5600G 8 MID PARANAQUE📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R5 5600G 4 MID HIGHLIGHTS📈📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"NEW 8 TRAD 5600G📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"NEW 10+1 NASUGBU📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"NEW 10+1 MABALACAT📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"𝐑𝟕 𝟓𝟕𝟎𝟎𝐗 𝐑𝐗𝟔𝟔𝟎𝟎",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 5 15+1",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 5 15+1+1 WIN",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"PCS RYZEN 5 COMSHOP PACKAGE BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"4PCS R5 3400G COMSHOP PACKAGE 09/07 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"R5 5600G 4PCS CP 09/27 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 5 56G 10+1+1 DP 10/11 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 5 56G 8+1 DP 10/07 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
2025-12-01,2025-12-31,"RYZEN 5 56G 6PCS CP 10/12 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-10-12T04:13:25+0800,-,,,0,0,,-,-,-,0,2025-11-23,,,,,,,,,,,,
